syd,did,wei,symptom,diagnose
272,684,1,skin bumps,sebaceous cyst:sac under the skin
6,700,1,arm ache or pain,shoulder joint dislocation:dislocated shoulder
89,700,1,shoulder ache or pain,shoulder joint dislocation:dislocated shoulder
241,700,1,arm numbness (paresthesias),shoulder joint dislocation:dislocated shoulder
6,703,1,arm ache or pain,sickle cell disease:disease of red blood cells
7,703,1,back ache or pain,sickle cell disease:disease of red blood cells
11,703,1,pain or soreness of breast,sickle cell disease:disease of red blood cells
57,703,1,leg ache or pain,sickle cell disease:disease of red blood cells
147,703,2,blood in urine (hematuria),sickle cell disease:disease of red blood cells
239,703,2,chest burning,sickle cell disease:disease of red blood cells
262,703,1,chest pain,sickle cell disease:disease of red blood cells
275,703,1,low back ache or pain,sickle cell disease:disease of red blood cells
6,740,0,arm ache or pain,supracondylar fracture:elbow fracture
25,740,1,elbow ache or pain,supracondylar fracture:elbow fracture
261,740,0,elbow swelling,supracondylar fracture:elbow fracture
6,751,0,arm ache or pain,tendonitis:tendon inflammation
35,751,1,foot pain,tendonitis:tendon inflammation
39,751,1,"hand, finger ache or pain",tendonitis:tendon inflammation
53,751,2,joint pain,tendonitis:tendon inflammation
57,751,0,leg ache or pain,tendonitis:tendon inflammation
100,751,0,toe pain,tendonitis:tendon inflammation
177,751,2,ankle pain,tendonitis:tendon inflammation
237,751,2,joint stiffness,tendonitis:tendon inflammation
303,751,1,arm stiffness or tightness,tendonitis:tendon inflammation
261,751,1,elbow swelling,tendonitis:tendon inflammation
301,751,1,shoulder stiffness or tightness,tendonitis:tendon inflammation
6,752,0,arm ache or pain,tenosynovitis:tendon sheath inflammation
25,752,0,elbow ache or pain,tenosynovitis:tendon sheath inflammation
39,752,2,"hand, finger ache or pain",tenosynovitis:tendon sheath inflammation
100,752,0,toe pain,tenosynovitis:tendon sheath inflammation
226,752,0,hand redness,tenosynovitis:tendon sheath inflammation
227,752,0,foot redness,tenosynovitis:tendon sheath inflammation
303,752,0,arm stiffness or tightness,tenosynovitis:tendon sheath inflammation
261,752,0,elbow swelling,tenosynovitis:tendon sheath inflammation
6,834,0,arm ache or pain,whiplash injury:neck injury
13,834,0,chest pressure,whiplash injury:neck injury
41,834,0,headache,whiplash injury:neck injury
67,834,2,neck ache or pain,whiplash injury:neck injury
290,834,2,neck stiffness or tightness,whiplash injury:neck injury
6,862,0,arm ache or pain,cervical spine stenosis:narrowing of spinal canal
67,862,1,neck ache or pain,cervical spine stenosis:narrowing of spinal canal
69,862,1,numbness,cervical spine stenosis:narrowing of spinal canal
115,862,1,weakness (muscle localized),cervical spine stenosis:narrowing of spinal canal
176,862,1,hand numbness (paresthesias),cervical spine stenosis:narrowing of spinal canal
241,862,1,arm numbness (paresthesias),cervical spine stenosis:narrowing of spinal canal
303,862,0,arm stiffness or tightness,cervical spine stenosis:narrowing of spinal canal
290,862,0,neck stiffness or tightness,cervical spine stenosis:narrowing of spinal canal
6,946,0,arm ache or pain,cubital tunnel syndrome:nerve compression in the elbow
25,946,0,elbow ache or pain,cubital tunnel syndrome:nerve compression in the elbow
39,946,0,"hand, finger ache or pain",cubital tunnel syndrome:nerve compression in the elbow
69,946,1,numbness,cubital tunnel syndrome:nerve compression in the elbow
176,946,1,hand numbness (paresthesias),cubital tunnel syndrome:nerve compression in the elbow
261,946,0,elbow swelling,cubital tunnel syndrome:nerve compression in the elbow
6,1014,0,arm ache or pain,hand fracture:broken hand
39,1014,2,"hand, finger ache or pain",hand fracture:broken hand
6,1016,0,arm ache or pain,clavicle fracture:broken collar bone
89,1016,2,shoulder ache or pain,clavicle fracture:broken collar bone
6,1054,1,arm ache or pain,foreign body in a wound
39,1054,1,"hand, finger ache or pain",foreign body in a wound
42,1054,3,heel pain,foreign body in a wound
219,1054,3,arm cut (laceration),foreign body in a wound
220,1054,3,hand cut (laceration),foreign body in a wound
221,1054,3,leg cut (laceration),foreign body in a wound
222,1054,3,foot cut (laceration),foreign body in a wound
238,1054,1,skin sores,foreign body in a wound
263,1054,2,skin infection,foreign body in a wound
6,1106,0,arm ache or pain,synovitis:inflammation of joint lining
25,1106,0,elbow ache or pain,synovitis:inflammation of joint lining
37,1106,0,groin pain,synovitis:inflammation of joint lining
39,1106,0,"hand, finger ache or pain",synovitis:inflammation of joint lining
57,1106,0,leg ache or pain,synovitis:inflammation of joint lining
248,1106,2,limping in a child,synovitis:inflammation of joint lining
275,1106,0,low back ache or pain,synovitis:inflammation of joint lining
6,1138,0,arm ache or pain,reflex sympathetic dystrophy:complex pain syndrome
7,1138,0,back ache or pain,reflex sympathetic dystrophy:complex pain syndrome
39,1138,0,"hand, finger ache or pain",reflex sympathetic dystrophy:complex pain syndrome
57,1138,0,leg ache or pain,reflex sympathetic dystrophy:complex pain syndrome
264,1138,0,stomach and abdominal pain,reflex sympathetic dystrophy:complex pain syndrome
301,1138,0,shoulder stiffness or tightness,reflex sympathetic dystrophy:complex pain syndrome
6,1275,0,arm ache or pain,ewing's sarcoma:cancer
31,1275,0,fever of unknown origin,ewing's sarcoma:cancer
57,1275,0,leg ache or pain,ewing's sarcoma:cancer
116,1275,0,tired,ewing's sarcoma:cancer
123,1275,0,"weight loss, unexplained",ewing's sarcoma:cancer
6,1317,0,arm ache or pain,langerhans cell histiocytosis:histiocytosis x
17,1317,0,cough,langerhans cell histiocytosis:histiocytosis x
57,1317,0,leg ache or pain,langerhans cell histiocytosis:histiocytosis x
81,1317,0,rash,langerhans cell histiocytosis:histiocytosis x
88,1317,0,shortness of breath,langerhans cell histiocytosis:histiocytosis x
101,1317,0,tooth pain,langerhans cell histiocytosis:histiocytosis x
6,1363,1,arm ache or pain,takayasu's arteritis:giant cell arteritis of the young
21,1363,1,dizziness,takayasu's arteritis:giant cell arteritis of the young
66,1363,1,nausea,takayasu's arteritis:giant cell arteritis of the young
69,1363,1,numbness,takayasu's arteritis:giant cell arteritis of the young
112,1363,1,visual problems,takayasu's arteritis:giant cell arteritis of the young
113,1363,1,vomiting,takayasu's arteritis:giant cell arteritis of the young
262,1363,1,chest pain,takayasu's arteritis:giant cell arteritis of the young
264,1363,1,stomach and abdominal pain,takayasu's arteritis:giant cell arteritis of the young
6,1369,0,arm ache or pain,thrombophlebitis:superficial
12,1369,1,calf pain,thrombophlebitis:superficial
57,1369,1,leg ache or pain,thrombophlebitis:superficial
214,1369,1,calf swelling,thrombophlebitis:superficial
228,1369,0,arm redness,thrombophlebitis:superficial
229,1369,1,leg redness,thrombophlebitis:superficial
6,1331,0,arm ache or pain,paget disease of the bone:paget's disease of the bone
7,1331,0,back ache or pain,paget disease of the bone:paget's disease of the bone
41,1331,0,headache,paget disease of the bone:paget's disease of the bone
45,1331,0,hip pain,paget disease of the bone:paget's disease of the bone
57,1331,0,leg ache or pain,paget disease of the bone:paget's disease of the bone
241,1331,0,arm numbness (paresthesias),paget disease of the bone:paget's disease of the bone
242,1331,0,leg numbness (paresthesias),paget disease of the bone:paget's disease of the bone
6,1333,0,arm ache or pain,parathyroid cancer
16,1333,0,constipation,parathyroid cancer
47,1333,0,hoarse voice,parathyroid cancer
57,1333,0,leg ache or pain,parathyroid cancer
113,1333,0,vomiting,parathyroid cancer
123,1333,0,"weight loss, unexplained",parathyroid cancer
292,1333,0,confusion,parathyroid cancer
7,1,1,back ache or pain,abdominal aortic aneurysm:(enlarged major blood vessel)
32,1,1,flank pain,abdominal aortic aneurysm:(enlarged major blood vessel)
54,1,1,kidney pain (flank pain),abdominal aortic aneurysm:(enlarged major blood vessel)
173,1,1,abdominal swelling (stomach swelling),abdominal aortic aneurysm:(enlarged major blood vessel)
205,1,1,low blood pressure,abdominal aortic aneurysm:(enlarged major blood vessel)
275,1,1,low back ache or pain,abdominal aortic aneurysm:(enlarged major blood vessel)
7,102,1,back ache or pain,bone metastases:cancer spread to bone
275,102,1,low back ache or pain,bone metastases:cancer spread to bone
7,219,1,back ache or pain,discitis:spinal disk inflammation
37,219,1,groin pain,discitis:spinal disk inflammation
67,219,1,neck ache or pain,discitis:spinal disk inflammation
248,219,1,limping in a child,discitis:spinal disk inflammation
275,219,1,low back ache or pain,discitis:spinal disk inflammation
7,678,1,back ache or pain,sciatica:lower back nerve irritation
37,678,0,groin pain,sciatica:lower back nerve irritation
45,678,1,hip pain,sciatica:lower back nerve irritation
55,678,0,knee pain,sciatica:lower back nerve irritation
57,678,1,leg ache or pain,sciatica:lower back nerve irritation
233,678,1,upper leg pain,sciatica:lower back nerve irritation
242,678,1,leg numbness (paresthesias),sciatica:lower back nerve irritation
243,678,1,foot numbness (paresthesias),sciatica:lower back nerve irritation
275,678,1,low back ache or pain,sciatica:lower back nerve irritation
7,723,0,back ache or pain,spondylolisthesis:slipped back bone
176,723,0,hand numbness (paresthesias),spondylolisthesis:slipped back bone
177,723,0,ankle pain,spondylolisthesis:slipped back bone
241,723,0,arm numbness (paresthesias),spondylolisthesis:slipped back bone
242,723,1,leg numbness (paresthesias),spondylolisthesis:slipped back bone
243,723,1,foot numbness (paresthesias),spondylolisthesis:slipped back bone
275,723,0,low back ache or pain,spondylolisthesis:slipped back bone
7,776,2,back ache or pain,transverse myelitis:spinal cord inflammation
69,776,2,numbness,transverse myelitis:spinal cord inflammation
176,776,1,hand numbness (paresthesias),transverse myelitis:spinal cord inflammation
241,776,1,arm numbness (paresthesias),transverse myelitis:spinal cord inflammation
242,776,1,leg numbness (paresthesias),transverse myelitis:spinal cord inflammation
243,776,1,foot numbness (paresthesias),transverse myelitis:spinal cord inflammation
7,813,1,back ache or pain,vertebral fracture:broken back or neck bone
275,813,1,low back ache or pain,vertebral fracture:broken back or neck bone
7,42,0,back ache or pain,ankylosing spondylitis: (severe spine arthritis)
53,42,0,joint pain,ankylosing spondylitis: (severe spine arthritis)
67,42,0,neck ache or pain,ankylosing spondylitis: (severe spine arthritis)
237,42,0,joint stiffness,ankylosing spondylitis: (severe spine arthritis)
275,42,0,low back ache or pain,ankylosing spondylitis: (severe spine arthritis)
7,943,0,back ache or pain,osteoporosis:extremely thin bone
45,943,1,hip pain,osteoporosis:extremely thin bone
118,943,1,wrist pain,osteoporosis:extremely thin bone
275,943,0,low back ache or pain,osteoporosis:extremely thin bone
7,974,1,back ache or pain,lumbar spinal stenosis:spinal cord compression
49,974,1,incontinence (leaking urine),lumbar spinal stenosis:spinal cord compression
57,974,0,leg ache or pain,lumbar spinal stenosis:spinal cord compression
69,974,1,numbness,lumbar spinal stenosis:spinal cord compression
115,974,1,weakness (muscle localized),lumbar spinal stenosis:spinal cord compression
242,974,1,leg numbness (paresthesias),lumbar spinal stenosis:spinal cord compression
243,974,1,foot numbness (paresthesias),lumbar spinal stenosis:spinal cord compression
275,974,0,low back ache or pain,lumbar spinal stenosis:spinal cord compression
7,1041,2,back ache or pain,obesity
19,1041,0,depressed,obesity
37,1041,0,groin pain,obesity
70,1041,0,obesity,obesity
88,1041,0,shortness of breath,obesity
199,1041,1,amenorrhea (no menstruation),obesity
257,1041,1,snoring,obesity
275,1041,0,low back ache or pain,obesity
306,1041,2,high blood sugar,obesity
7,1201,1,back ache or pain,lumbar spondylosis:spine arthritis
7,65,0,back ache or pain,asthma
13,65,0,chest pressure,asthma
17,65,0,cough,asthma
88,65,2,shortness of breath,asthma
129,65,2,wheezing (noisy breathing),asthma
170,65,2,cyanosis (blue skin coloration),asthma
262,65,2,chest pain,asthma
270,65,2,difficulty breathing,asthma
273,65,2,congestion in chest or lungs,asthma
269,65,2,hurts to breathe,asthma
7,73,0,back ache or pain,back trauma:injury
32,73,0,flank pain,back trauma:injury
37,73,0,groin pain,back trauma:injury
54,73,0,kidney pain (flank pain),back trauma:injury
57,73,0,leg ache or pain,back trauma:injury
67,73,0,neck ache or pain,back trauma:injury
102,73,2,trauma,back trauma:injury
275,73,1,low back ache or pain,back trauma:injury
7,440,0,back ache or pain,lung cancer:tumor
88,440,0,shortness of breath,lung cancer:tumor
170,440,0,cyanosis (blue skin coloration),lung cancer:tumor
178,440,1,hemoptysis (coughing blood),lung cancer:tumor
239,440,0,chest burning,lung cancer:tumor
262,440,0,chest pain,lung cancer:tumor
7,483,0,back ache or pain,multiple sclerosis:ms
15,483,0,change in behavior,multiple sclerosis:ms
21,483,0,dizziness,multiple sclerosis:ms
49,483,1,incontinence (leaking urine),multiple sclerosis:ms
57,483,0,leg ache or pain,multiple sclerosis:ms
69,483,1,numbness,multiple sclerosis:ms
87,483,0,seizure,multiple sclerosis:ms
94,483,0,speech problem,multiple sclerosis:ms
104,483,1,unsteady gait (trouble walking),multiple sclerosis:ms
112,483,0,visual problems,multiple sclerosis:ms
114,483,1,general weakness,multiple sclerosis:ms
116,483,1,tired,multiple sclerosis:ms
121,483,0,tremors,multiple sclerosis:ms
148,483,1,urinary retention (inability to urinate),multiple sclerosis:ms
164,483,1,loss of balance,multiple sclerosis:ms
171,483,0,muscle spasm,multiple sclerosis:ms
176,483,1,hand numbness (paresthesias),multiple sclerosis:ms
188,483,0,impotence,multiple sclerosis:ms
197,483,0,visual flashing lights,multiple sclerosis:ms
241,483,1,arm numbness (paresthesias),multiple sclerosis:ms
242,483,1,leg numbness (paresthesias),multiple sclerosis:ms
243,483,1,foot numbness (paresthesias),multiple sclerosis:ms
244,483,1,face numbness (paresthesias),multiple sclerosis:ms
7,534,1,back ache or pain,osteomyelitis:bone infection
53,534,1,joint pain,osteomyelitis:bone infection
57,534,1,leg ache or pain,osteomyelitis:bone infection
180,534,1,night sweats,osteomyelitis:bone infection
248,534,1,limping in a child,osteomyelitis:bone infection
251,534,1,shin pain,osteomyelitis:bone infection
7,584,,back ache or pain,"pleuritis:inflammation of the lung's lining, pleurisy"
32,584,,flank pain,"pleuritis:inflammation of the lung's lining, pleurisy"
54,584,,kidney pain (flank pain),"pleuritis:inflammation of the lung's lining, pleurisy"
239,584,2,chest burning,"pleuritis:inflammation of the lung's lining, pleurisy"
262,584,1,chest pain,"pleuritis:inflammation of the lung's lining, pleurisy"
269,584,2,hurts to breathe,"pleuritis:inflammation of the lung's lining, pleurisy"
7,599,,back ache or pain,pregnancy
16,599,1,constipation,pregnancy
49,599,1,incontinence (leaking urine),pregnancy
66,599,,nausea,pregnancy
189,599,1,heart murmur (abnormal heart sound),pregnancy
199,599,2,amenorrhea (no menstruation),pregnancy
205,599,1,low blood pressure,pregnancy
208,599,0,foot itching,pregnancy
225,599,0,arm itching,pregnancy
230,599,0,hand itching,pregnancy
231,599,0,leg itching,pregnancy
235,599,1,sweating,pregnancy
295,599,2,nipple discharge,pregnancy
282,599,0,excessive appetite,pregnancy
7,617,1,back ache or pain,pulmonary embolism:blood clot in the lungs
13,617,2,chest pressure,pulmonary embolism:blood clot in the lungs
21,617,1,dizziness,pulmonary embolism:blood clot in the lungs
88,617,2,shortness of breath,pulmonary embolism:blood clot in the lungs
170,617,3,cyanosis (blue skin coloration),pulmonary embolism:blood clot in the lungs
178,617,2,hemoptysis (coughing blood),pulmonary embolism:blood clot in the lungs
205,617,1,low blood pressure,pulmonary embolism:blood clot in the lungs
239,617,1,chest burning,pulmonary embolism:blood clot in the lungs
262,617,2,chest pain,pulmonary embolism:blood clot in the lungs
270,617,1,difficulty breathing,pulmonary embolism:blood clot in the lungs
269,617,1,hurts to breathe,pulmonary embolism:blood clot in the lungs
7,665,,back ache or pain,rib fracture:broken bone
32,665,,flank pain,rib fracture:broken bone
54,665,,kidney pain (flank pain),rib fracture:broken bone
262,665,,chest pain,rib fracture:broken bone
275,665,,low back ache or pain,rib fracture:broken bone
269,665,1,hurts to breathe,rib fracture:broken bone
7,680,0,back ache or pain,scoliosis:crooked spine
275,680,0,low back ache or pain,scoliosis:crooked spine
7,757,0,back ache or pain,"thoracic outlet syndrome:nerve, blood vessel compression"
69,757,0,numbness,"thoracic outlet syndrome:nerve, blood vessel compression"
176,757,0,hand numbness (paresthesias),"thoracic outlet syndrome:nerve, blood vessel compression"
241,757,0,arm numbness (paresthesias),"thoracic outlet syndrome:nerve, blood vessel compression"
7,852,0,back ache or pain,lymphoma:lymph node cancer
11,852,0,pain or soreness of breast,lymphoma:lymph node cancer
29,852,0,fever,lymphoma:lymph node cancer
52,852,0,skin itching,lymphoma:lymph node cancer
68,852,0,neck swelling,lymphoma:lymph node cancer
116,852,0,tired,lymphoma:lymph node cancer
123,852,1,"weight loss, unexplained",lymphoma:lymph node cancer
131,852,2,swollen lymph nodes (large lymph nodes),lymphoma:lymph node cancer
180,852,2,night sweats,lymphoma:lymph node cancer
198,852,0,eye floaters,lymphoma:lymph node cancer
208,852,0,foot itching,lymphoma:lymph node cancer
225,852,0,arm itching,lymphoma:lymph node cancer
230,852,0,hand itching,lymphoma:lymph node cancer
231,852,0,leg itching,lymphoma:lymph node cancer
234,852,0,armpit pain,lymphoma:lymph node cancer
275,852,0,low back ache or pain,lymphoma:lymph node cancer
7,1351,0,back ache or pain,rectocele
16,1351,0,constipation,rectocele
82,1351,1,rectal pain,rectocele
8,55,1,bleeding tendency,aplastic anemia:bone marrow failure
64,55,1,nasal bleeding,aplastic anemia:bone marrow failure
163,55,1,bleeding gums,aplastic anemia:bone marrow failure
8,208,1,bleeding tendency,dengue fever:tropical mosquito borne illness
30,208,3,fever in the returning traveler,dengue fever:tropical mosquito borne illness
131,208,1,swollen lymph nodes (large lymph nodes),dengue fever:tropical mosquito borne illness
8,222,1,bleeding tendency,"disseminated intravascular coagulation:dic, abnormality of blood clotting"
8,340,2,bleeding tendency,hemophilia:inherited bleeding disorder
64,340,0,nasal bleeding,hemophilia:inherited bleeding disorder
163,340,1,bleeding gums,hemophilia:inherited bleeding disorder
178,340,1,hemoptysis (coughing blood),hemophilia:inherited bleeding disorder
8,424,1,bleeding tendency,leukemia:blood cell cancer
64,424,0,nasal bleeding,leukemia:blood cell cancer
123,424,0,"weight loss, unexplained",leukemia:blood cell cancer
163,424,0,bleeding gums,leukemia:blood cell cancer
180,424,2,night sweats,leukemia:blood cell cancer
198,424,0,eye floaters,leukemia:blood cell cancer
8,436,2,bleeding tendency,low platelets:thrombocytopenia
163,436,3,bleeding gums,low platelets:thrombocytopenia
8,455,1,bleeding tendency,measles:viral disease with typical rash
29,455,1,fever,measles:viral disease with typical rash
8,484,2,bleeding tendency,mumps:viral infection involving salivary glands
85,484,2,scrotal pain,mumps:viral infection involving salivary glands
86,484,2,scrotal swelling,mumps:viral infection involving salivary glands
187,484,2,jaw pain,mumps:viral infection involving salivary glands
8,491,2,bleeding tendency,myelodysplastic syndrome:bone marrow failure
163,491,1,bleeding gums,myelodysplastic syndrome:bone marrow failure
8,652,1,bleeding tendency,"renal failure, acute:sudden kidney failure"
21,652,1,dizziness,"renal failure, acute:sudden kidney failure"
52,652,1,skin itching,"renal failure, acute:sudden kidney failure"
58,652,1,swelling of both legs,"renal failure, acute:sudden kidney failure"
59,652,2,lethargy (sluggishness),"renal failure, acute:sudden kidney failure"
116,652,2,tired,"renal failure, acute:sudden kidney failure"
171,652,1,muscle spasm,"renal failure, acute:sudden kidney failure"
173,652,1,abdominal swelling (stomach swelling),"renal failure, acute:sudden kidney failure"
196,652,1,foot swelling,"renal failure, acute:sudden kidney failure"
204,652,1,low blood sugar,"renal failure, acute:sudden kidney failure"
250,652,1,increased urination (polyuria),"renal failure, acute:sudden kidney failure"
292,652,1,confusion,"renal failure, acute:sudden kidney failure"
284,652,1,retaining fluid,"renal failure, acute:sudden kidney failure"
8,828,0,bleeding tendency,waldenström macroglobulinemia:blood cell disease
8,830,1,bleeding tendency,warfarin:coumadin use
10,830,1,bloody diarrhea,warfarin:coumadin use
18,830,1,dark stools,warfarin:coumadin use
64,830,1,nasal bleeding,warfarin:coumadin use
155,830,1,melena (black stools from blood),warfarin:coumadin use
156,830,0,vomiting coffee ground material,warfarin:coumadin use
163,830,1,bleeding gums,warfarin:coumadin use
8,1287,0,bleeding tendency,foot sprain
35,1287,2,foot pain,foot sprain
196,1287,2,foot swelling,foot sprain
8,1359,0,bleeding tendency,shoulder sprain
89,1359,1,shoulder ache or pain,shoulder sprain
301,1359,2,shoulder stiffness or tightness,shoulder sprain
8,1383,0,bleeding tendency,wrist sprain
118,1383,1,wrist pain,wrist sprain
217,1383,1,wrist swelling,wrist sprain
8,1393,0,bleeding tendency,broken jaw:mandible fracture
69,1393,0,numbness,broken jaw:mandible fracture
187,1393,0,jaw pain,broken jaw:mandible fracture
8,1439,1,bleeding tendency,von willebrand's disease
8,1513,0,bleeding tendency,scurvy:vitamin c deficiency
62,1513,0,muscle pain,scurvy:vitamin c deficiency
66,1513,0,nausea,scurvy:vitamin c deficiency
116,1513,0,tired,scurvy:vitamin c deficiency
163,1513,0,bleeding gums,scurvy:vitamin c deficiency
258,1513,0,dry skin,scurvy:vitamin c deficiency
9,253,2,blood in vomit,nose bleed:epistaxis
40,253,2,head injury,nose bleed:epistaxis
64,253,2,nasal bleeding,nose bleed:epistaxis
65,253,2,nasal injury,nose bleed:epistaxis
9,263,1,blood in vomit,esophageal varices:dilation of esophageal veins
18,263,2,dark stools,esophageal varices:dilation of esophageal veins
155,263,2,melena (black stools from blood),esophageal varices:dilation of esophageal veins
156,263,2,vomiting coffee ground material,esophageal varices:dilation of esophageal veins
9,341,0,blood in vomit,hemoptysis:coughing blood
9,345,1,blood in vomit,henoch schönlein purpura:blood vessel inflammation
10,345,1,bloody diarrhea,henoch schönlein purpura:blood vessel inflammation
18,345,1,dark stools,henoch schönlein purpura:blood vessel inflammation
81,345,0,rash,henoch schönlein purpura:blood vessel inflammation
9,394,2,blood in vomit,intestinal volvulus:twisting of intestine
10,394,2,bloody diarrhea,intestinal volvulus:twisting of intestine
173,394,1,abdominal swelling (stomach swelling),intestinal volvulus:twisting of intestine
218,394,1,maroon stools,intestinal volvulus:twisting of intestine
264,394,1,stomach and abdominal pain,intestinal volvulus:twisting of intestine
9,399,2,blood in vomit,intussusception:telescoping intestine
10,399,2,bloody diarrhea,intussusception:telescoping intestine
18,399,2,dark stools,intussusception:telescoping intestine
36,399,3,"cranky, crying, fussy, irritable child",intussusception:telescoping intestine
128,399,2,inconsolable baby,intussusception:telescoping intestine
264,399,2,stomach and abdominal pain,intussusception:telescoping intestine
9,403,0,blood in vomit,kaposi sarcoma:type of cancer
174,403,0,skin growths,kaposi sarcoma:type of cancer
9,450,1,blood in vomit,mallory weiss syndrome:esophageal tear
10,450,0,bloody diarrhea,mallory weiss syndrome:esophageal tear
18,450,1,dark stools,mallory weiss syndrome:esophageal tear
155,450,0,melena (black stools from blood),mallory weiss syndrome:esophageal tear
156,450,2,vomiting coffee ground material,mallory weiss syndrome:esophageal tear
264,450,1,stomach and abdominal pain,mallory weiss syndrome:esophageal tear
9,712,0,blood in vomit,small bowel lymphoma:intestinal lymph node cancer
18,712,1,dark stools,small bowel lymphoma:intestinal lymph node cancer
155,712,0,melena (black stools from blood),small bowel lymphoma:intestinal lymph node cancer
9,379,3,blood in vomit,"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
71,379,3,overdose,"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
77,379,3,poisoning,"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
153,379,3,ingestion,"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
156,379,2,vomiting coffee ground material,"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
157,379,3,ringing in ears (tinnitus),"nonsteroidal anti-inflammatory drug overdose:motrin, advil"
9,768,2,blood in vomit,tonsillitis:tonsil infection
14,768,0,chills,tonsillitis:tonsil infection
17,768,0,cough,tonsillitis:tonsil infection
24,768,0,pain in the ear,tonsillitis:tonsil infection
29,768,0,fever,tonsillitis:tonsil infection
41,768,0,headache,tonsillitis:tonsil infection
47,768,2,hoarse voice,tonsillitis:tonsil infection
88,768,0,shortness of breath,tonsillitis:tonsil infection
93,768,2,sore throat,tonsillitis:tonsil infection
113,768,0,vomiting,tonsillitis:tonsil infection
120,768,2,throat pain,tonsillitis:tonsil infection
172,768,2,drooling,tonsillitis:tonsil infection
178,768,2,hemoptysis (coughing blood),tonsillitis:tonsil infection
257,768,2,snoring,tonsillitis:tonsil infection
9,257,0,blood in vomit,esophageal cancer:tumor
98,257,0,swallowing problem (dysphagia),esophageal cancer:tumor
155,257,0,melena (black stools from blood),esophageal cancer:tumor
156,257,0,vomiting coffee ground material,esophageal cancer:tumor
9,310,1,blood in vomit,"gastrointestinal bleeding:stomach, intestine bleeding"
10,310,1,bloody diarrhea,"gastrointestinal bleeding:stomach, intestine bleeding"
20,310,1,diarrhea,"gastrointestinal bleeding:stomach, intestine bleeding"
28,310,3,fainting,"gastrointestinal bleeding:stomach, intestine bleeding"
113,310,1,vomiting,"gastrointestinal bleeding:stomach, intestine bleeding"
155,310,3,melena (black stools from blood),"gastrointestinal bleeding:stomach, intestine bleeding"
156,310,3,vomiting coffee ground material,"gastrointestinal bleeding:stomach, intestine bleeding"
205,310,2,low blood pressure,"gastrointestinal bleeding:stomach, intestine bleeding"
218,310,1,maroon stools,"gastrointestinal bleeding:stomach, intestine bleeding"
262,310,1,chest pain,"gastrointestinal bleeding:stomach, intestine bleeding"
264,310,1,stomach and abdominal pain,"gastrointestinal bleeding:stomach, intestine bleeding"
9,446,0,blood in vomit,malabsorption syndrome:abnormal intestinal digestion
20,446,2,diarrhea,malabsorption syndrome:abnormal intestinal digestion
36,446,0,"cranky, crying, fussy, irritable child",malabsorption syndrome:abnormal intestinal digestion
114,446,1,general weakness,malabsorption syndrome:abnormal intestinal digestion
123,446,1,"weight loss, unexplained",malabsorption syndrome:abnormal intestinal digestion
132,446,1,failure to thrive,malabsorption syndrome:abnormal intestinal digestion
173,446,2,abdominal swelling (stomach swelling),malabsorption syndrome:abnormal intestinal digestion
181,446,2,flatulence (passing gas),malabsorption syndrome:abnormal intestinal digestion
232,446,2,steatorrhea (excess fat in stool),malabsorption syndrome:abnormal intestinal digestion
9,758,1,blood in vomit,thrombocytopenia:low platelet count
64,758,1,nasal bleeding,thrombocytopenia:low platelet count
155,758,1,melena (black stools from blood),thrombocytopenia:low platelet count
156,758,1,vomiting coffee ground material,thrombocytopenia:low platelet count
9,829,1,blood in vomit,"warfarin:coumadin, jantoven overdose"
71,829,1,overdose,"warfarin:coumadin, jantoven overdose"
77,829,1,poisoning,"warfarin:coumadin, jantoven overdose"
105,829,1,vaginal bleeding,"warfarin:coumadin, jantoven overdose"
147,829,1,blood in urine (hematuria),"warfarin:coumadin, jantoven overdose"
153,829,1,ingestion,"warfarin:coumadin, jantoven overdose"
160,829,1,eye redness,"warfarin:coumadin, jantoven overdose"
178,829,1,hemoptysis (coughing blood),"warfarin:coumadin, jantoven overdose"
10,32,,bloody diarrhea,amebiasis:ameba infection
30,32,,fever in the returning traveler,amebiasis:ameba infection
10,125,3,bloody diarrhea,campylobacter infection:intestinal bacterial infection
30,125,3,fever in the returning traveler,campylobacter infection:intestinal bacterial infection
103,125,3,traveler's diarrhea,campylobacter infection:intestinal bacterial infection
181,125,1,flatulence (passing gas),campylobacter infection:intestinal bacterial infection
10,178,1,bloody diarrhea,colitis:large intestine inflammation
10,231,3,bloody diarrhea,"e. coli infection:escherichia coli, bacterial infection"
20,231,3,diarrhea,"e. coli infection:escherichia coli, bacterial infection"
30,231,3,fever in the returning traveler,"e. coli infection:escherichia coli, bacterial infection"
103,231,3,traveler's diarrhea,"e. coli infection:escherichia coli, bacterial infection"
10,393,2,bloody diarrhea,intestinal ischemia:decreased intestinal blood flow
18,393,1,dark stools,intestinal ischemia:decreased intestinal blood flow
173,393,1,abdominal swelling (stomach swelling),intestinal ischemia:decreased intestinal blood flow
10,670,3,bloody diarrhea,salmonella infection:common bacterial intestinal infection
20,670,2,diarrhea,salmonella infection:common bacterial intestinal infection
103,670,3,traveler's diarrhea,salmonella infection:common bacterial intestinal infection
